Row,log_1,log_2,log_3,log_4,log_5,log_6,log_7,log_8,log_9,log_10,log_11,log_12,log_13,log_14,log_15,log_16,log_17,log_18,log_19,log_20,log_21,log_22,log_23,log_24,log_25,log_26,log_27,log_28,log_29,log_30,log_31,log_32,log_33,log_34,log_35,log_36,log_37,log_38,log_39,log_40,log_41,log_42,log_43,log_44,log_45,log_46,log_47,log_48,log_49,log_50,log_51,log_52,log_53,log_54,log_55,log_56,log_57,log_58,log_59,log_60,log_61,log_62,log_63,log_64,log_65,log_66,log_67,log_68,log_69,log_70,log_71,log_72,log_73,log_74,log_75,log_76,log_77,log_78,log_79,log_80,log_81,log_82,log_83,log_84,log_85,log_86,log_87,log_88,log_89,log_90,log_91,log_92,log_93,log_94,log_95,log_96,log_97,log_98,log_99,log_100
Time_WLK21,18.040838,21.762818,24.518656,24.365576,24.015562,18.835375,34.17261,21.443822,29.500806,28.350372,20.028084,42.094509,25.211671,15.764556,16.791491,40.55295,22.938918,22.169281,21.761389,16.344995,19.403275,19.904404,24.724014,16.763794,18.427779,14.551889,13.71201,20.666077,16.988589,26.817802,11.860358,28.120394,24.186998,22.923537,17.365384,19.356264,23.352757,19.67423,21.168433,29.807771,18.276784,22.33987,15.665548,16.850995,19.078068,17.517829,20.80227,12.856034,20.648177,14.750736,20.311888,32.559772,27.22267,17.921521,21.2098,20.301574,21.070344,19.643305,20.491583,25.069939,16.381157,18.639418,21.169448,12.748138,18.207034,16.559998,14.353205,20.503066,19.988919,15.525629,25.14741,19.551879,21.093029,16.062253,38.115595,19.460367,16.62535,17.170762,16.427141,23.51244,17.626357,22.136817,17.841309,17.353328,20.957447,14.40045,16.987933,15.513902,19.828063,11.554304,17.031411,27.789399,23.849785,18.345222,16.802148,23.516792,17.229665,13.580607,21.182562,14.15037
Error_WLK21,4.44089209850063e-16,4.44089209850063e-16,0,1.55431223447522e-15,4.44089209850063e-16,0,2.44249065417534e-15,1.33226762955019e-15,2.44249065417534e-15,8.88178419700125e-16,8.88178419700125e-16,4.44089209850063e-16,0,4.44089209850063e-16,1.33226762955019e-15,4.88498130835069e-15,2.66453525910038e-15,4.44089209850063e-16,0,4.44089209850063e-16,1.33226762955019e-15,6.66133814775094e-16,4.44089209850063e-16,2.22044604925031e-15,6.66133814775094e-16,1.33226762955019e-15,4.44089209850063e-16,0,1.33226762955019e-15,1.33226762955019e-15,2.22044604925031e-16,4.44089209850063e-16,8.88178419700125e-16,8.88178419700125e-16,0,2.22044604925031e-15,4.44089209850063e-16,2.22044604925031e-16,4.44089209850063e-16,4.44089209850063e-16,6.66133814775094e-16,0,4.44089209850063e-16,8.88178419700125e-16,1.33226762955019e-15,8.88178419700125e-16,2.22044604925031e-15,1.11022302462516e-15,0,6.66133814775094e-16,3.77475828372553e-15,8.88178419700125e-16,5.10702591327572e-15,4.44089209850063e-16,1.55431223447522e-15,1.33226762955019e-15,8.88178419700125e-16,1.33226762955019e-15,4.44089209850063e-16,4.44089209850063e-16,6.66133814775094e-16,1.11022302462516e-15,1.99840144432528e-15,6.66133814775094e-16,0,4.44089209850063e-16,4.44089209850063e-16,6.66133814775094e-16,1.11022302462516e-15,6.66133814775094e-16,4.44089209850063e-16,2.22044604925031e-15,4.44089209850063e-16,1.11022302462516e-15,2.22044604925031e-15,8.88178419700125e-16,1.11022302462516e-15,8.88178419700125e-16,2.22044604925031e-16,1.99840144432528e-15,3.99680288865056e-15,2.66453525910038e-15,1.55431223447522e-15,1.33226762955019e-15,0,6.66133814775094e-16,6.66133814775094e-16,2.22044604925031e-16,2.66453525910038e-15,8.88178419700125e-16,2.22044604925031e-16,1.77635683940025e-15,2.66453525910038e-15,1.33226762955019e-15,4.44089209850063e-16,1.77635683940025e-15,0,2.22044604925031e-16,2.44249065417534e-15,6.66133814775094e-16
Err_WLK21_CR,0,4.44089209850063e-16,8.88178419700125e-16,1.99840144432528e-15,8.88178419700125e-16,4.44089209850063e-16,2.22044604925031e-15,8.88178419700125e-16,2.22044604925031e-15,2.22044604925031e-15,4.44089209850063e-16,0,4.44089209850063e-16,1.33226762955019e-15,1.55431223447522e-15,6.21724893790088e-15,2.44249065417534e-15,4.44089209850063e-16,1.77635683940025e-15,8.88178419700125e-16,1.33226762955019e-15,6.66133814775094e-16,4.44089209850063e-16,8.88178419700125e-16,8.88178419700125e-16,8.88178419700125e-16,0,8.88178419700125e-16,8.88178419700125e-16,8.88178419700125e-16,0,4.44089209850063e-16,8.88178419700125e-16,4.44089209850063e-16,2.22044604925031e-16,2.22044604925031e-15,4.44089209850063e-16,4.44089209850063e-16,0,4.44089209850063e-16,8.88178419700125e-16,4.44089209850063e-16,8.88178419700125e-16,6.66133814775094e-16,8.88178419700125e-16,1.11022302462516e-15,2.22044604925031e-15,1.11022302462516e-15,0,6.66133814775094e-16,3.77475828372553e-15,8.88178419700125e-16,5.10702591327572e-15,4.44089209850063e-16,1.11022302462516e-15,1.77635683940025e-15,8.88178419700125e-16,0,1.77635683940025e-15,0,8.88178419700125e-16,1.33226762955019e-15,1.99840144432528e-15,6.66133814775094e-16,8.88178419700125e-16,4.44089209850063e-16,4.44089209850063e-16,8.88178419700125e-16,1.11022302462516e-15,6.66133814775094e-16,1.33226762955019e-15,4.44089209850063e-16,8.88178419700125e-16,1.33226762955019e-15,2.22044604925031e-15,8.88178419700125e-16,6.66133814775094e-16,6.66133814775094e-16,4.44089209850063e-16,1.33226762955019e-15,2.22044604925031e-15,2.66453525910038e-15,1.55431223447522e-15,1.33226762955019e-15,4.44089209850063e-16,6.66133814775094e-16,4.44089209850063e-16,0,2.66453525910038e-15,4.44089209850063e-16,4.44089209850063e-16,1.33226762955019e-15,2.66453525910038e-15,4.44089209850063e-16,4.44089209850063e-16,1.77635683940025e-15,4.44089209850063e-16,2.22044604925031e-16,2.66453525910038e-15,8.88178419700125e-16
Time_WLK21_eig,8.621967,10.005245,11.193832,12.771126,10.39141,9.211092,17.433062,8.498808,15.309853,9.534339,9.656086,25.776115,12.073466,6.56065,8.961305,24.956375,10.898139,12.492802,9.992782,7.659463,9.417574,10.023275,11.802579,7.903509,8.528276,7.271833,6.433187,9.671819,8.164646,11.636459,6.179671,14.391959,10.716437,10.422479,8.55029,10.690112,11.442152,9.566158,8.917551,13.782216,8.727415,10.065256,6.609029,8.633587,8.31362,8.841519,9.900062,6.907085,8.993792,7.647785,11.014663,14.43307,14.177892,7.16298,10.954911,10.380268,10.998829,7.610349,7.751673,11.143995,8.038365,9.191784,11.0456,6.753948,8.232812,7.040859,7.561327,10.259659,10.633729,8.053389,12.269113,7.971452,9.101685,8.204466,17.523911,8.566449,8.264979,8.629955,8.716465,12.481842,7.855327,9.190359,9.170863,8.82794,9.494443,6.910685,8.699818,7.73105,10.450385,5.1239,9.432591,13.290703,11.830621,8.992956,7.746432,12.5529,7.665996,6.752526,10.675557,7.317053
Time_WLK21_grad,9.176744,11.510538,12.995178,11.348063,13.365332,9.318405,16.4742,12.704352,13.901352,18.591293,10.125767,15.839947,12.861583,9.00569,7.610575,15.22129,11.787449,9.436747,11.499546,8.461354,9.762856,9.626414,12.666675,8.639422,9.697575,7.089999,7.090082,10.744928,8.595324,14.898086,5.503604,13.426381,13.206855,12.234897,8.598663,8.431751,11.637539,9.888186,12.008641,15.751046,9.332309,12.022665,8.850365,8.001281,10.551943,8.469315,10.636712,5.761833,11.427582,6.880411,9.054665,17.79051,12.779174,10.549847,10.006502,9.676073,9.846812,11.819169,12.532169,13.651546,8.138691,9.235427,9.880163,5.809613,9.749563,9.309751,6.586701,10.007398,9.137041,7.264084,12.57199,11.359211,11.758268,7.639014,20.288114,10.674712,8.167687,8.307844,7.48966,10.768935,9.550481,12.701542,8.429601,8.315735,11.211618,7.292741,8.056401,7.590746,9.137343,6.247184,7.377933,14.20402,11.760525,9.117302,8.830178,10.693332,9.349074,6.644756,10.264369,6.638213
Time_WK20,35.174888,29.966982,32.303948,54.150409,40.827644,28.432038,54.339463,28.028193,89.6388,32.725778,26.381246,34.044789,32.109174,30.958472,31.909971,43.634066,42.965052,31.167871,36.194049,25.176094,43.377744,36.714057,29.845451,24.774725,37.047824,30.891829,23.569738,28.318287,25.837354,32.117168,27.512682,34.564321,32.101813,32.344069,33.240552,40.535012,27.354231,36.968935,28.875168,40.248955,31.407955,28.537505,23.371504,31.845276,26.494907,34.640861,29.656654,29.129784,27.170369,28.271848,34.772172,42.51937,44.204208,24.551713,47.459983,40.396626,37.274932,26.723173,26.983022,32.606393,34.292107,36.41223,39.13519,27.283247,26.715306,24.255193,29.211922,39.462383,32.933851,29.406223,38.063714,27.892071,26.965775,32.740208,50.330076,28.074895,30.657637,33.667392,31.654139,44.771505,24.777438,30.200249,32.559909,35.718476,29.583729,29.631755,31.373914,31.573452,38.75625,21.204387,33.687874,37.761493,45.28863,27.52615,25.296495,46.714554,23.734873,30.66138,39.09221,28.632808
Error_WK20,0,4.44089209850063e-16,8.88178419700125e-16,2.88657986402541e-15,4.44089209850063e-16,8.88178419700125e-16,2.44249065417534e-15,1.33226762955019e-15,1.77635683940025e-15,1.33226762955019e-15,1.33226762955019e-15,1.33226762955019e-15,0,8.88178419700125e-16,1.11022302462516e-15,7.54951656745106e-15,2.88657986402541e-15,4.44089209850063e-16,4.44089209850063e-16,1.33226762955019e-15,8.88178419700125e-16,1.77635683940025e-15,0,0,6.66133814775094e-16,6.66133814775094e-16,1.77635683940025e-15,0,4.44089209850063e-16,2.22044604925031e-15,0,8.88178419700125e-16,0,8.88178419700125e-16,2.22044604925031e-16,1.33226762955019e-15,0,2.22044604925031e-16,1.33226762955019e-15,2.22044604925031e-15,1.11022302462516e-15,1.33226762955019e-15,1.77635683940025e-15,6.66133814775094e-16,1.33226762955019e-15,8.88178419700125e-16,2.22044604925031e-15,8.88178419700125e-16,0,2.22044604925031e-16,1.11022302462516e-15,2.66453525910038e-15,1.11022302462516e-15,1.33226762955019e-15,1.99840144432528e-15,1.33226762955019e-15,2.22044604925031e-16,4.44089209850063e-16,8.88178419700125e-16,1.33226762955019e-15,4.44089209850063e-16,4.44089209850063e-16,8.88178419700125e-16,8.88178419700125e-16,4.44089209850063e-16,0,0,1.11022302462516e-15,1.11022302462516e-15,8.88178419700125e-16,4.44089209850063e-16,4.44089209850063e-16,1.77635683940025e-15,2.66453525910038e-15,2.22044604925031e-15,1.33226762955019e-15,8.88178419700125e-16,6.66133814775094e-16,6.66133814775094e-16,1.99840144432528e-15,1.33226762955019e-15,2.66453525910038e-15,1.77635683940025e-15,8.88178419700125e-16,0,2.22044604925031e-16,2.22044604925031e-16,4.44089209850063e-16,8.88178419700125e-16,1.77635683940025e-15,1.11022302462516e-15,2.22044604925031e-15,1.99840144432528e-15,4.44089209850063e-16,8.88178419700125e-16,2.44249065417534e-15,4.44089209850063e-16,0,6.66133814775094e-16,6.66133814775094e-16
Err_WK20_CR,8.88178419700125e-16,4.44089209850063e-16,8.88178419700125e-16,2.44249065417534e-15,0,4.44089209850063e-16,2.44249065417534e-15,2.66453525910038e-15,2.22044604925031e-15,2.66453525910038e-15,1.33226762955019e-15,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16,1.77635683940025e-15,7.54951656745106e-15,2.66453525910038e-15,1.33226762955019e-15,4.44089209850063e-16,4.44089209850063e-16,1.33226762955019e-15,2.22044604925031e-15,0,1.33226762955019e-15,6.66133814775094e-16,1.33226762955019e-15,8.88178419700125e-16,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16,0,1.77635683940025e-15,1.33226762955019e-15,8.88178419700125e-16,1.11022302462516e-15,1.33226762955019e-15,0,6.66133814775094e-16,4.44089209850063e-16,1.77635683940025e-15,8.88178419700125e-16,1.33226762955019e-15,1.33226762955019e-15,6.66133814775094e-16,1.77635683940025e-15,1.11022302462516e-15,2.22044604925031e-15,1.11022302462516e-15,8.88178419700125e-16,4.44089209850063e-16,1.11022302462516e-15,3.10862446895044e-15,1.33226762955019e-15,8.88178419700125e-16,1.99840144432528e-15,1.55431223447522e-15,0,0,8.88178419700125e-16,4.44089209850063e-16,4.44089209850063e-16,1.11022302462516e-15,1.77635683940025e-15,4.44089209850063e-16,0,4.44089209850063e-16,2.22044604925031e-16,1.33226762955019e-15,1.55431223447522e-15,6.66133814775094e-16,0,4.44089209850063e-16,8.88178419700125e-16,1.77635683940025e-15,2.66453525910038e-15,4.44089209850063e-16,1.11022302462516e-15,8.88178419700125e-16,1.11022302462516e-15,2.44249065417534e-15,1.77635683940025e-15,2.22044604925031e-15,1.33226762955019e-15,1.11022302462516e-15,4.44089209850063e-16,6.66133814775094e-16,1.33226762955019e-15,0,8.88178419700125e-16,0,4.44089209850063e-16,2.22044604925031e-15,2.66453525910038e-15,0,0,2.44249065417534e-15,8.88178419700125e-16,4.44089209850063e-16,0,1.11022302462516e-15
Time_WK20_eig,1.24861,2.002056,2.295573,1.620495,3.88568,1.750232,2.703339,1.428495,2.973735,2.423872,1.22777,2.062684,1.318083,0.941101,1.246754,2.681178,1.733296,1.116048,3.507645,1.155409,2.096377,1.839152,1.465677,0.984415,1.168928,1.235423,0.938142,1.919808,1.227856,1.503568,1.025124,2.337729,1.746522,1.407281,1.759341,1.682936,1.490695,1.356035,1.533785,2.158982,1.16502,2.171446,0.837372,1.148471,1.557426,1.238139,1.47251,1.239302,1.423602,0.888679,2.921929,2.648897,2.534254,0.899172,1.696213,1.872834,1.650503,1.488767,1.232168,1.614346,1.214246,1.2015,1.840937,1.05813,1.278888,0.864026,1.124089,1.645948,1.058661,1.155609,1.779361,1.324416,1.221676,1.280694,2.45726,1.934844,1.028582,1.466073,1.531184,2.97441,1.343606,1.275535,1.176493,1.454069,1.797776,0.953957,1.278068,0.97668,1.804946,0.684995,1.919787,2.300104,1.919795,1.329571,1.306648,1.634809,1.029016,0.802908,1.941913,1.079985
Time_WK20_grad,33.879458,27.911245,29.961348,52.4858,36.870335,26.632175,51.587536,26.535854,86.597617,30.225019,25.105285,31.934228,30.74447,29.970149,30.6192,40.905654,41.189016,30.00202,32.631789,23.973416,41.235645,34.827764,28.334221,23.742932,35.833745,29.609799,22.578267,26.35104,24.564422,30.565844,26.432186,32.179209,30.307324,30.887991,31.433766,38.803749,25.814989,35.56541,27.293426,38.037092,30.197894,26.315873,22.485195,30.649934,24.88632,33.355724,28.137164,27.839065,25.699807,27.330842,31.80574,39.825397,41.625514,23.608271,45.711246,38.476093,35.570255,25.189702,25.708044,30.947345,33.032917,35.165913,37.246412,26.171453,25.392195,23.343712,28.038333,37.764495,31.828172,28.208221,36.235731,26.520277,25.696546,31.412429,47.825592,26.092647,29.580559,32.151738,30.075188,41.749776,23.386448,28.870566,31.338375,34.216987,27.731542,28.629615,30.051369,30.542596,36.901667,20.472328,31.720507,35.416732,43.323467,26.147488,23.942648,45.034734,22.661982,29.81169,37.101358,27.505388
