Row,log_1,log_2,log_3,log_4,log_5
Time_WLK21,3659.609185,3728.398262,2917.669235,2468.865392,2997.921588
Error_WLK21,1.46549439250521e-14,2.26485497023532e-14,1.55431223447522e-14,6.88338275267597e-15,2.1538326677728e-14
Err_WLK21_CR,1.37667655053519e-14,2.22044604925031e-14,1.59872115546023e-14,6.88338275267597e-15,2.19824158875781e-14
Time_WLK21_eig,2636.694343,2704.890641,1958.96381,1746.554431,2273.448551
Time_WLK21_grad,901.627453,916.681399,876.285829,638.148213,627.891666
Time_WK20,12371.963265,11815.134723,8362.088286,13192.922861,14546.491913
Error_WK20,6.21724893790088e-15,2.75335310107039e-14,1.15463194561016e-14,9.99200722162641e-15,1.97619698383278e-14
Err_WK20_CR,5.77315972805081e-15,2.8421709430404e-14,1.11022302462516e-14,9.76996261670138e-15,1.97619698383278e-14
Time_WK20_eig,748.234112,969.581174,406.335424,599.277616,845.738961
Time_WK20_grad,11618.154119,10841.43128,7951.622405,12589.451801,13694.045132
Time_JL19,16534.283459,15463.325626,15281.188652,14533.135446,15265.133437
Error_JL19,7.45424453452159e-06,1.14746813615341e-05,2.50034772517616e-05,1.20909017027326e-05,7.44750650838455e-06
Error_JL19_CR,7.45424453452159e-06,1.14746813624222e-05,2.50034772517616e-05,1.2092788168161e-05,7.44845941302863e-06
Time_JL19_eig,589.377964,531.096632,415.768741,757.632212,624.757262
Time_JL19_grad,15940.911305,14928.212384,14861.457558,13770.918154,14636.403911
