Row,log_1,log_2,log_3,log_4,log_5,log_6,log_7,log_8,log_9,log_10,log_11,log_12,log_13,log_14,log_15,log_16,log_17,log_18,log_19,log_20,log_21,log_22,log_23,log_24,log_25,log_26,log_27,log_28,log_29,log_30,log_31,log_32,log_33,log_34,log_35,log_36,log_37,log_38,log_39,log_40,log_41,log_42,log_43,log_44,log_45,log_46,log_47,log_48,log_49,log_50,log_51,log_52,log_53,log_54,log_55,log_56,log_57,log_58,log_59,log_60,log_61,log_62,log_63,log_64,log_65,log_66,log_67,log_68,log_69,log_70,log_71,log_72,log_73,log_74,log_75,log_76,log_77,log_78,log_79,log_80,log_81,log_82,log_83,log_84,log_85,log_86,log_87,log_88,log_89,log_90,log_91,log_92,log_93,log_94,log_95,log_96,log_97,log_98,log_99,log_100
Time_WLK21,0.582141,0.5786,0.566301,0.756443,0.535154,0.535585,0.586715,0.911966,0.696595,0.643839,0.72358,0.508083,0.569629,0.76649,0.643123,0.674094,0.454801,0.759678,0.469627,0.811699,0.742482,1.017056,0.676526,0.83046,0.888352,0.828936,0.604867,0.595578,0.600443,0.56628,0.499709,0.657818,0.378699,0.596815,0.597923,0.710775,0.495682,0.737912,0.561992,0.651903,0.604858,0.434956,0.614918,0.717422,0.519396,0.532414,0.650581,0.645075,0.731583,0.679989,0.723425,1.088806,0.768907,0.746706,0.674985,0.666471,0.557241,0.641941,0.665782,0.585826,0.4869,0.756003,0.653159,0.508829,0.590148,0.743407,0.605513,0.738386,0.694417,0.717956,0.605261,0.522935,0.530132,0.396456,0.570523,0.602426,0.743982,0.56673,0.518702,0.564863,0.572589,0.649791,0.529308,0.511952,0.517192,0.560157,0.581319,0.459428,0.538309,0.55294,0.466263,0.586375,0.503235,0.637995,0.700885,0.652577,0.644344,0.700236,0.680249,0.578219
Error_WLK21,4.44089209850063e-16,4.44089209850063e-16,0,4.44089209850063e-16,4.44089209850063e-16,2.22044604925031e-16,8.88178419700125e-16,1.33226762955019e-15,2.22044604925031e-15,4.44089209850063e-16,4.44089209850063e-16,6.66133814775094e-16,2.22044604925031e-16,1.33226762955019e-15,8.88178419700125e-16,0,6.66133814775094e-16,1.55431223447522e-15,4.44089209850063e-16,4.44089209850063e-16,8.88178419700125e-16,1.33226762955019e-15,0,1.33226762955019e-15,1.11022302462516e-15,2.22044604925031e-15,2.22044604925031e-16,8.88178419700125e-16,2.22044604925031e-16,8.88178419700125e-16,0,8.88178419700125e-16,0,8.88178419700125e-16,4.44089209850063e-16,8.88178419700125e-16,6.66133814775094e-16,1.11022302462516e-15,8.88178419700125e-16,4.44089209850063e-16,4.44089209850063e-16,0,2.22044604925031e-16,1.33226762955019e-15,2.22044604925031e-16,4.44089209850063e-16,4.44089209850063e-16,0,1.55431223447522e-15,8.88178419700125e-16,1.33226762955019e-15,1.53210777398272e-14,1.33226762955019e-15,6.66133814775094e-16,2.22044604925031e-16,1.11022302462516e-15,4.44089209850063e-16,4.44089209850063e-16,2.22044604925031e-16,0,2.66453525910038e-15,0,6.66133814775094e-16,8.88178419700125e-16,4.44089209850063e-16,1.77635683940025e-15,1.77635683940025e-15,4.44089209850063e-16,1.33226762955019e-15,1.11022302462516e-15,0,2.66453525910038e-15,8.88178419700125e-16,2.22044604925031e-16,8.88178419700125e-16,4.44089209850063e-16,4.44089209850063e-16,6.66133814775094e-16,2.22044604925031e-15,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16,6.66133814775094e-16,4.44089209850063e-16,1.33226762955019e-15,8.88178419700125e-16,0,8.88178419700125e-16,6.66133814775094e-16,2.22044604925031e-16,0,2.22044604925031e-16,4.44089209850063e-16,8.88178419700125e-16,0,8.88178419700125e-16,8.88178419700125e-16,4.44089209850063e-16,6.66133814775094e-16,0
Err_WLK21_CR,0,4.44089209850063e-16,8.88178419700125e-16,0,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16,8.88178419700125e-16,2.22044604925031e-15,0,4.44089209850063e-16,8.88178419700125e-16,4.44089209850063e-16,1.11022302462516e-15,8.88178419700125e-16,1.33226762955019e-15,0,1.55431223447522e-15,4.44089209850063e-16,0,4.44089209850063e-16,4.44089209850063e-16,0,1.77635683940025e-15,1.11022302462516e-15,2.22044604925031e-15,2.22044604925031e-16,1.33226762955019e-15,2.22044604925031e-16,4.44089209850063e-16,2.22044604925031e-16,4.44089209850063e-16,0,8.88178419700125e-16,2.22044604925031e-16,8.88178419700125e-16,6.66133814775094e-16,1.11022302462516e-15,8.88178419700125e-16,8.88178419700125e-16,4.44089209850063e-16,0,0,4.44089209850063e-16,2.22044604925031e-16,8.88178419700125e-16,4.44089209850063e-16,8.88178419700125e-16,1.55431223447522e-15,2.22044604925031e-15,1.11022302462516e-15,1.48769885299771e-14,1.33226762955019e-15,4.44089209850063e-16,0,8.88178419700125e-16,2.22044604925031e-16,1.33226762955019e-15,4.44089209850063e-16,4.44089209850063e-16,1.77635683940025e-15,4.44089209850063e-16,6.66133814775094e-16,2.22044604925031e-16,4.44089209850063e-16,2.22044604925031e-15,8.88178419700125e-16,4.44089209850063e-16,4.44089209850063e-16,1.11022302462516e-15,4.44089209850063e-16,1.77635683940025e-15,8.88178419700125e-16,0,4.44089209850063e-16,1.77635683940025e-15,8.88178419700125e-16,8.88178419700125e-16,3.10862446895044e-15,4.44089209850063e-16,4.44089209850063e-16,6.66133814775094e-16,4.44089209850063e-16,0,1.33226762955019e-15,4.44089209850063e-16,4.44089209850063e-16,8.88178419700125e-16,4.44089209850063e-16,2.22044604925031e-16,4.44089209850063e-16,2.22044604925031e-16,2.22044604925031e-16,4.44089209850063e-16,4.44089209850063e-16,8.88178419700125e-16,1.11022302462516e-15,4.44089209850063e-16,6.66133814775094e-16,4.44089209850063e-16
Time_WLK21_eig,0.388495,0.379069,0.377858,0.512596,0.379685,0.374961,0.392422,0.602278,0.472054,0.432193,0.500118,0.346132,0.393023,0.542456,0.447159,0.433764,0.310966,0.541837,0.315556,0.588506,0.508156,0.651529,0.494114,0.597947,0.680014,0.539158,0.419722,0.394843,0.417379,0.39522,0.351813,0.431803,0.251102,0.417043,0.428038,0.490396,0.348417,0.562216,0.403569,0.438715,0.408336,0.302299,0.412294,0.472745,0.362445,0.373679,0.425485,0.420175,0.519317,0.459669,0.525703,0.837981,0.539659,0.550242,0.469909,0.426027,0.389526,0.424857,0.485015,0.394356,0.332953,0.518383,0.453545,0.368013,0.421819,0.55509,0.42374,0.492821,0.468815,0.532879,0.428227,0.369073,0.350327,0.27816,0.366787,0.399061,0.547765,0.406664,0.337932,0.391162,0.39467,0.464327,0.368344,0.338336,0.347174,0.378262,0.406588,0.31262,0.369226,0.386859,0.316794,0.436853,0.362695,0.434306,0.463867,0.441982,0.440485,0.516101,0.489777,0.399778
Time_WLK21_grad,0.180647,0.185925,0.175695,0.229402,0.14344,0.148518,0.180691,0.294891,0.211118,0.198427,0.209324,0.149285,0.164359,0.20992,0.182466,0.225769,0.131902,0.199057,0.14208,0.203912,0.216364,0.351634,0.169522,0.215513,0.192594,0.275838,0.172698,0.18371,0.167474,0.155412,0.134674,0.21168,0.116138,0.168202,0.157532,0.207056,0.135197,0.162488,0.145859,0.199173,0.182773,0.121136,0.190299,0.230451,0.145368,0.145973,0.212616,0.210877,0.199358,0.20703,0.178998,0.235968,0.213804,0.182881,0.192436,0.227177,0.155508,0.204658,0.16845,0.178162,0.141187,0.222229,0.185555,0.129097,0.15569,0.17516,0.168092,0.231223,0.211514,0.172415,0.163982,0.140513,0.167105,0.107173,0.190583,0.189871,0.182999,0.14791,0.167494,0.160776,0.165451,0.17299,0.148335,0.161244,0.157375,0.169239,0.161209,0.134793,0.156954,0.153251,0.137595,0.137821,0.128742,0.190219,0.222949,0.197387,0.190646,0.171022,0.173066,0.166149
Time_WK20,0.523895,0.470722,0.457604,0.847039,0.896819,0.727447,0.479989,0.983753,0.669552,0.559428,0.575039,0.610129,0.749826,1.410863,0.599483,0.783476,0.595943,1.218894,0.334063,0.480382,0.803,1.121928,0.730947,0.627281,1.216951,0.655664,0.669808,0.531616,0.662222,0.677071,0.55108,0.58817,0.323642,0.883762,0.871524,0.652464,0.619166,0.859922,0.579354,0.5506,0.514983,0.469957,0.90482,0.653657,0.669791,0.442034,0.660215,0.549952,1.065171,0.550895,1.162556,1.592501,0.498763,0.746481,1.037456,1.069863,0.590691,0.546526,0.747104,0.506648,0.376366,0.689811,1.052215,0.538323,0.792344,1.017218,0.534766,0.623374,0.677086,0.982378,0.444728,0.389134,0.399784,0.422301,0.51172,0.516682,0.904213,0.702254,0.409391,0.476119,0.753778,0.705985,0.689725,0.439023,0.427982,0.670964,0.477663,0.384308,0.62423,0.744838,0.529909,0.627496,0.512897,0.572278,0.631805,0.588198,0.823075,0.834491,0.764544,0.693024
Error_WK20,0,4.44089209850063e-16,0,8.88178419700125e-16,2.22044604925031e-16,8.88178419700125e-16,1.33226762955019e-15,0,1.33226762955019e-15,4.44089209850063e-16,4.44089209850063e-16,8.88178419700125e-16,4.44089209850063e-16,1.77635683940025e-15,8.88178419700125e-16,4.44089209850063e-16,6.66133814775094e-16,6.66133814775094e-16,4.44089209850063e-16,8.88178419700125e-16,0,8.88178419700125e-16,2.22044604925031e-16,1.33226762955019e-15,1.33226762955019e-15,2.22044604925031e-15,4.44089209850063e-16,8.88178419700125e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,4.44089209850063e-16,8.88178419700125e-16,4.44089209850063e-16,4.44089209850063e-16,1.77635683940025e-15,0,1.33226762955019e-15,6.66133814775094e-16,1.77635683940025e-15,4.44089209850063e-16,0,2.22044604925031e-16,8.88178419700125e-16,2.22044604925031e-16,1.33226762955019e-15,0,4.44089209850063e-16,1.55431223447522e-15,4.44089209850063e-16,6.66133814775094e-16,4.44089209850063e-16,4.44089209850063e-16,2.22044604925031e-16,2.22044604925031e-16,6.66133814775094e-16,4.44089209850063e-16,1.77635683940025e-15,2.22044604925031e-16,0,4.44089209850063e-16,8.88178419700125e-16,1.55431223447522e-15,4.44089209850063e-16,4.44089209850063e-16,6.66133814775094e-16,1.33226762955019e-15,4.44089209850063e-16,4.44089209850063e-16,2.22044604925031e-15,4.44089209850063e-16,1.77635683940025e-15,4.44089209850063e-16,2.22044604925031e-16,1.33226762955019e-15,1.33226762955019e-15,1.11022302462516e-15,1.55431223447522e-15,2.22044604925031e-15,0,0,6.66133814775094e-16,2.22044604925031e-16,8.88178419700125e-16,4.44089209850063e-16,2.22044604925031e-16,4.44089209850063e-16,0,2.22044604925031e-16,4.44089209850063e-16,4.44089209850063e-16,2.22044604925031e-16,4.44089209850063e-16,8.88178419700125e-16,4.44089209850063e-16,4.44089209850063e-16,8.88178419700125e-16,6.66133814775094e-16,1.11022302462516e-15,2.22044604925031e-16
Err_WK20_CR,0,4.44089209850063e-16,8.88178419700125e-16,0,8.88178419700125e-16,6.66133814775094e-16,0,4.44089209850063e-16,2.22044604925031e-15,4.44089209850063e-16,8.88178419700125e-16,8.88178419700125e-16,0,1.77635683940025e-15,0,4.44089209850063e-16,0,6.66133814775094e-16,4.44089209850063e-16,0,4.44089209850063e-16,8.88178419700125e-16,2.22044604925031e-16,1.33226762955019e-15,1.55431223447522e-15,1.77635683940025e-15,2.22044604925031e-16,8.88178419700125e-16,6.66133814775094e-16,8.88178419700125e-16,4.44089209850063e-16,1.33226762955019e-15,4.44089209850063e-16,8.88178419700125e-16,4.44089209850063e-16,1.77635683940025e-15,4.44089209850063e-16,1.77635683940025e-15,1.55431223447522e-15,0,1.33226762955019e-15,2.22044604925031e-16,0,4.44089209850063e-16,2.22044604925031e-16,4.44089209850063e-16,0,4.44089209850063e-16,2.22044604925031e-15,1.33226762955019e-15,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16,8.88178419700125e-16,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16,0,4.44089209850063e-16,1.33226762955019e-15,4.44089209850063e-16,1.55431223447522e-15,2.22044604925031e-16,8.88178419700125e-16,8.88178419700125e-16,1.33226762955019e-15,4.44089209850063e-16,0,1.77635683940025e-15,0,1.33226762955019e-15,4.44089209850063e-16,0,4.44089209850063e-16,1.33226762955019e-15,1.77635683940025e-15,1.55431223447522e-15,3.10862446895044e-15,8.88178419700125e-16,0,4.44089209850063e-16,6.66133814775094e-16,4.44089209850063e-16,8.88178419700125e-16,4.44089209850063e-16,4.44089209850063e-16,8.88178419700125e-16,8.88178419700125e-16,4.44089209850063e-16,4.44089209850063e-16,2.22044604925031e-16,6.66133814775094e-16,0,0,4.44089209850063e-16,8.88178419700125e-16,8.88178419700125e-16,1.55431223447522e-15,2.22044604925031e-16
Time_WK20_eig,0.101035,0.108534,0.126778,0.137184,0.104194,0.108343,0.11429,0.134964,0.125008,0.12563,0.122287,0.105715,0.137215,0.151309,0.104949,0.122273,0.100417,0.117406,0.076858,0.102793,0.224237,0.155305,0.178736,0.199958,0.192396,0.143659,0.100701,0.155878,0.119115,0.120232,0.083459,0.11283,0.103133,0.113349,0.161703,0.152106,0.12088,0.122204,0.09086,0.123057,0.105709,0.076852,0.125151,0.111686,0.109344,0.10644,0.101466,0.117745,0.12435,0.099766,0.187693,0.168826,0.110898,0.131354,0.110098,0.107671,0.095999,0.102401,0.103249,0.093123,0.087312,0.119935,0.11429,0.092212,0.132204,0.131153,0.114235,0.122231,0.111709,0.220151,0.102859,0.10116,0.085752,0.082726,0.104708,0.118003,0.118387,0.104873,0.102708,0.106566,0.133434,0.107766,0.110741,0.110416,0.094734,0.07819,0.144245,0.101931,0.093029,0.122553,0.111768,0.105362,0.114343,0.120996,0.109931,0.121961,0.126271,0.126072,0.099074,0.093858
Time_WK20_grad,0.415005,0.356479,0.324732,0.704363,0.787245,0.613371,0.360621,0.843484,0.539291,0.428221,0.447644,0.498875,0.607208,1.254707,0.488704,0.655667,0.489941,1.093114,0.251571,0.372403,0.569672,0.955644,0.546603,0.420899,1.018852,0.504884,0.561669,0.368607,0.535612,0.551783,0.461599,0.469512,0.215477,0.764636,0.704671,0.494955,0.492633,0.732706,0.483582,0.42309,0.404214,0.38771,0.774845,0.536618,0.555478,0.329926,0.553414,0.427318,0.935652,0.446567,0.968979,1.417903,0.382498,0.608707,0.92078,0.956024,0.489716,0.438603,0.638293,0.407925,0.28339,0.564373,0.932977,0.440588,0.654882,0.880595,0.414948,0.495357,0.559457,0.756489,0.336829,0.282698,0.308386,0.334336,0.401426,0.393154,0.780718,0.591873,0.301562,0.36436,0.615213,0.592708,0.573687,0.323208,0.327657,0.587769,0.328868,0.276865,0.525653,0.616634,0.413512,0.516637,0.393505,0.445781,0.516259,0.460944,0.691197,0.703805,0.660461,0.594162
