Row,log_1,log_2,log_3,log_4,log_5
Time_WLK21,6550.178988,5094.032689,6581.989436,5998.804054,4758.614309
Error_WLK21,3.10862446895044e-15,3.5527136788005e-15,7.99360577730113e-15,1.11022302462516e-14,6.66133814775094e-15
Err_WLK21_CR,3.10862446895044e-15,3.99680288865056e-15,8.43769498715119e-15,1.15463194561016e-14,5.99520433297585e-15
Time_WLK21_eig,3160.930685,3200.484237,4211.377575,3788.813896,3144.781245
Time_WLK21_grad,3297.630592,1807.563582,2271.509835,2115.737557,1517.539851
Time_WK20,7121.493487,6642.695563,7527.400934,9033.662593,7835.207333
Error_WK20,3.10862446895044e-15,4.44089209850063e-15,2.88657986402541e-14,2.62012633811537e-14,1.22124532708767e-14
Err_WK20_CR,3.99680288865056e-15,5.32907051820075e-15,3.01980662698043e-14,2.62012633811537e-14,1.26565424807268e-14
Time_WK20_eig,366.452348,404.870501,466.207962,454.396759,327.05505
Time_WK20_grad,6751.120367,6233.914166,7057.294433,8575.347706,7504.626316
Time_JL19,13655.154021,14661.835525,13458.607289,13162.39821,13087.156353
Error_JL19,8.95727936267576e-13,1.50381929131527e-11,1.43632159499418e-08,1.86538073876363e-09,9.69024860353329e-11
Error_JL19_CR,3.41117093993759e-06,9.40860728393389e-06,9.35324767814549e-06,9.41657781083904e-06,4.63688965557374e-06
Time_JL19_eig,496.408066,489.916516,759.264684,440.83756,365.52157
Time_JL19_grad,13154.777031,14167.892989,12695.174499,12717.631984,12717.66716
